12566	1.6700000000000002	1.29642	0.00709
12582	1.6700000000000002	1.23355	0.06383
12597	1.63	0.95315	0.29739
12613	1.63	0.88614	0.34695
12629	1.63	0.79643	0.40217
12637	1.71	0.88043	0.31582
12663	1.71	1.12046	0.03405
12679	1.71	1.26481	-0.15998
12694	1.75	1.24714	-0.16995
12710	1.75	1.59154	-0.46680
12726	1.75	1.84814	-0.71334
12741	1.74	1.94137	-0.80646
12757	1.74	1.88345	-0.72278
12772	1.74	1.87788	-0.70292
12788	1.72	1.87453	-0.69100
12804	1.72	1.88418	-0.70078
12819	1.72	1.82083	-0.66209
12835	1.72	1.77331	-0.63308
12851	1.72	1.80369	-0.65963
12866	1.72	1.79642	-0.65589
12882	1.6	1.79046	-0.65284
12913	1.6	2.43655	-1.26479
12929	1.6	6.13719	-4.80961
12944	1.52	7.37073	-5.99122
12960	1.52	9.83783	-8.35443
12976	1.52	9.83783	-8.35443
12991	1.52	9.83783	-8.35443
13007	1.52	12.56275	-11.16528
13022	1.52	12.56275	-11.16528
13038	1.52	12.56275	-11.16528
13054	1.52	0.00000	0.00000
13069	1.52	6.09728	-5.39160
13085	1.4300000000000002	8.12970	-7.18880
13101	1.4300000000000002	11.97991	-10.56038
13116	1.4300000000000002	11.79302	-10.36775
13132	1.42	11.73072	-10.30355
13147	1.42	11.57138	-10.13685
13163	1.42	11.80167	-10.37440
13179	1.39	11.87844	-10.45358
13194	1.39	11.89331	-10.46853
13226	1.39	11.56437	-10.12986
13241	1.34	11.42468	-9.98568
13257	1.34	11.17820	-9.73039
13272	1.34	11.15903	-9.70848
13288	1.28	11.09287	-9.63897
13304	1.28	10.96260	-9.50256
13319	1.28	10.76308	-9.29434
13335	3.42	12.32976	-10.93678
13351	3.42	18.06117	-17.03420
13366	3.42	30.81934	-30.77957
13382	6.989999999999999	39.50709	-40.21160
13398	6.989999999999999	56.14612	-58.28846
13413	6.989999999999999	66.86794	-70.06463
13429	8.51	73.63171	-77.51064
13444	8.51	87.64273	-92.95218
13460	8.51	83.60187	-88.49374
13476	7.14	77.19940	-81.43990
13493	7.14	65.07872	-68.09479
13514	7.14	58.89215	-61.28800
13530	7.39	64.19955	-67.11494
13546	7.39	84.70105	-89.76833
13561	7.39	142.77164	-154.27347
13577	14.92	190.62175	-207.64592
13592	14.92	287.94894	-316.31299
13608	14.92	387.03375	-427.53329
13624	9.809999999999999	436.14136	-482.69736
13639	9.809999999999999	525.15271	-582.67877
13655	9.809999999999999	490.41180	-543.58557
13671	8.18	450.99847	-499.28522
13702	8.18	369.03778	-407.23044
13717	8.18	280.05121	-307.55148
13733	4.68	227.95703	-249.34917
13749	4.68	128.78470	-138.65363
13764	4.68	94.82712	-101.05029
13780	2.9299999999999997	80.21929	-84.91132
13796	2.9299999999999997	51.58056	-53.27490
13811	2.9299999999999997	46.97702	-48.23594
13827	2.68	45.44250	-46.55629
13842	2.68	42.32756	-43.15068
13858	2.68	32.40013	-35.01522
13874	2.66	29.09099	-32.30341
13889	2.66	31.37127	-34.80228
13905	2.66	43.24782	-45.97529
13921	1.21	47.20668	-49.69963
13936	1.21	36.96189	-37.84361
13952	1.21	18.69225	-18.60559
13967	1.6900000000000002	12.60237	-12.19292
13983	1.6900000000000002	0.43806	0.62025
14014	1.6900000000000002	-7.10878	10.20461
14030	1.6900000000000002	-9.62439	13.39940
