1	2.81	57	0.45623	0.27842
1	2.81	75	0.45423	0.28385
1	2.81	90	0.45390	0.29000
1	2.63	107	0.45363	0.29505
1	2.63	123	0.45263	0.30519
1	2.63	137	0.45172	0.31083
1	2.67	157	0.45088	0.31569
1	2.67	171	0.45188	0.32075
1	2.67	189	0.45462	0.32107
1	2.4699999999999998	206	0.44999	0.35009
1	2.4699999999999998	222	0.47076	0.25094
1	2.4699999999999998	235	0.48995	0.20630
1	2.54	254	0.51550	0.12969
1	2.54	269	0.47850	0.27038
1	2.54	286	0.46686	0.32083
1	2.44	302	0.44293	0.41819
1	2.44	319	0.48166	0.30537
1	2.44	335	0.47680	0.28271
1	2.66	352	0.48547	0.22116
1	2.66	368	0.45879	0.30756
1	2.66	387	0.45651	0.29655
1	2.64	400	0.44533	0.31434
1	2.64	420	0.45882	0.26242
1	2.64	434	0.47755	0.22003
1	2.59	450	0.50024	0.16129
1	2.59	468	0.52262	0.17082
1	2.59	481	0.51237	0.21236
1	2.66	498	0.50703	0.23345
1	2.66	516	0.49502	0.25950
1	2.66	532	0.49226	0.26650
1	2.56	548	0.49006	0.27185
1	2.56	564	0.49141	0.27953
1	2.56	581	0.49064	0.28335
1	2.65	598	0.49004	0.28645
1	2.65	613	0.49063	0.28595
1	2.65	631	0.49234	0.27764
1	2.87	646	0.49402	0.27020
1	2.87	663	0.49545	0.26197
1	2.87	680	0.49418	0.26181
1	2.83	696	0.49312	0.26156
1	2.83	712	0.49057	0.26377
1	2.83	729	0.49076	0.26189
1	2.92	747	0.49100	0.26011
1	2.92	763	0.49233	0.25583
1	2.92	779	0.49193	0.25426
1	3.11	793	0.49286	0.22483
1	3.11	810	0.50801	0.17935
1	3.11	827	0.48929	0.21090
1	3.09	845	0.48030	0.22586
1	3.09	862	0.47471	0.23323
1	3.09	878	0.47137	0.23470
1	3.17	893	0.46912	0.23546
1	3.17	909	0.46750	0.23774
1	3.17	927	0.47493	0.22304
1	3	943	0.48086	0.21129
1	3	959	0.48321	0.20865
1	3	975	0.48521	0.20730
1	2.9299999999999997	993	0.48690	0.20616
1	2.9299999999999997	1008	0.49222	0.19992
1	2.9299999999999997	1025	0.49576	0.19682
1	2.99	1041	0.49871	0.19427
1	2.99	1058	0.49665	0.19563
1	2.99	1075	0.49560	0.19434
1	3.13	1091	0.50956	0.16851
1	3.13	1109	0.49368	0.17037
1	3.13	1125	0.48468	0.17902
1	2.8800000000000003	1139	0.47989	0.18400
1	2.8800000000000003	1156	0.47443	0.18762
1	2.8800000000000003	1174	0.48101	0.17453
1	2.9499999999999997	1189	0.48600	0.16464
1	2.9499999999999997	1205	0.49047	0.16090
1	2.9499999999999997	1222	0.49368	0.15818
1	2.99	1238	0.49624	0.15600
1	2.99	1255	0.49507	0.16235
1	2.99	1273	0.49524	0.16624
1	2.92	1287	0.49539	0.16953
1	2.92	1304	0.49489	0.17487
1	2.92	1323	0.49274	0.18317
1	2.85	1338	0.49080	0.19054
1	2.85	1355	0.48938	0.19104
1	2.85	1370	0.48806	0.19165
1	2.83	1387	0.48680	0.19232
1	2.83	1402	0.47859	0.22234
1	2.83	1420	0.45346	0.24605
1	2.87	1434	0.44529	0.25337
1	2.87	1452	0.43722	0.26334
1	2.87	1469	0.43094	0.28136
1	2.73	1484	0.42675	0.29337
1	2.73	1502	0.43943	0.28612
1	2.73	1518	0.44400	0.28337
1	2.71	1533	0.44745	0.28143
1	2.71	1551	0.45650	0.26429
1	2.71	1566	0.45819	0.26067
1	2.68	1584	0.45961	0.25765
1	2.68	1602	0.46238	0.25117
1	2.68	1617	0.46511	0.24477
1	2.64	1633	0.46738	0.23941
1	2.64	1651	0.46900	0.23454
1	2.64	1665	0.48849	0.20844
1	2.61	1683	0.49980	0.18336
1	2.61	1698	0.49635	0.19344
1	2.61	1715	0.49345	0.20780
1	2.63	1731	0.49172	0.21642
1	2.63	1748	0.48661	0.21733
1	2.63	1764	0.48247	0.21872
1	2.71	1782	0.47959	0.21926
1	2.71	1799	0.48310	0.21173
1	2.71	1812	0.48652	0.20468
1	2.64	1830	0.48918	0.19916
1	2.64	1845	0.48682	0.20122
1	2.64	1861	0.48312	0.20512
1	2.8	1881	0.47989	0.20858
1	2.8	1894	0.48152	0.21067
1	2.8	1914	0.48127	0.21659
1	2.61	1928	0.48099	0.22185
1	2.61	1946	0.48202	0.22326
1	2.61	1962	0.48177	0.22711
1	2.78	1978	0.48160	0.23055
1	2.78	1994	0.48109	0.23101
1	2.78	2013	0.57164	0.19349
0	2.78	2027	0.57164	0.19349
0	2.78	2045	0.57164	0.19349
0	2.78	2063	0.00000	0.00000
0	2.78	2079	0.00000	0.00000
0	2.78	2095	0.00000	0.00000
0	2.78	2110	0.00000	0.00000
0	2.78	2128	0.00000	0.00000
0	2.78	2146	0.00000	0.00000
0	2.78	2160	0.00000	0.00000
0	2.78	2179	0.00000	0.00000
1	2.78	2195	-3.03610	4.10168
1	2.78	2209	-2.85449	4.16215
1	2.16	2224	-1.24472	2.13892
1	2.16	2241	-3.22090	4.58950
1	2.16	2257	-2.20254	3.39552
1	2.2	2273	-1.00140	1.98751
1	2.2	2290	-0.84346	1.84558
1	2.2	2308	-0.58143	1.62505
1	2.07	2323	-1.00844	2.19032
1	2.07	2340	-0.86695	1.99452
1	2.07	2355	-0.72170	1.65014
1	3.23	2372	-0.30837	1.06549
1	3.23	2387	-0.04888	0.78582
1	3.23	2405	0.34904	0.30810
1	3.0500000000000003	2421	0.40945	0.26485
1	3.0500000000000003	2439	0.45701	0.21236
